questions,keywords,lang
Qui a conçu le pont de Brooklyn?,"pont de Brooklyn, conçu",fr
Cine a proiectat podul din Brooklyn?,"podul din Brooklyn, proiecta",ro
¿Quién diseñó la Brooklyn Bridge?,"diseñador, Brooklyn Bridge",es
Wie ontwierp de Brooklyn Bridge?,"ontwerp, Brooklyn Bridge",nl
Wie viele Menschen leben in Eurasien?,"Population, Eurasien",de
Как многие люди жить в Евразия? ,"люди ,  Евразия ",ru
Como muitos pessoas viver dentro Eurásia? ,"pessoas ,  Eurásia ",pt
How many people live in Eurasia?,"people, Eurasia",en
किस तरह अनेक लोग जीना में यूरेशिया? ,"लोग ,  यूरेशिया ",hi_IN
Quante persone vivono in Eurasia?,"persone, Eurasia",it
Combien de personnes vivent en Eurasie?,"personnes, Eurasie",fr
Wer moderiert die BBC Wildlife Specials?,"BBC Wildlife Specials, Moderator",de
Кто является  хозяин из  BBC живая природа Скидки? ,"хозяин ,  BBC живая природа Специальные предложения ",ru
Quem é a hospedeiro do a BBC Animais selvagens Promoções ,"hospedeiro ,  BBC Animais selvagens Especiais ",pt
Who is the host of the BBC Wildlife Specials?,"host, BBC Wildlife Specials",en
बीबीसी वाइल्डलाइफ स्पेशल का मेजबान कौन है?,"बीबीसी वाइल्डलाइफ स्पेशल, मेजबान",hi_IN
مجری مجموعه حیات وحش بی.بی.سی چه کسی است؟,مجری، مجموعه حیات وحش بی.بی.سی,fa
Chi è il presentatore degli speciali della BBC Wildlife?,"presentatore, speciali, BBC Wildlife",it
Qui est le présentateur de BBC Wildlife Specials?,"présentateur, BBC Wildlife Specials?",fr
Cine este prezentatorul pentru BBC Wildlife Specials?,"prezentator, BBC Wildlife Specials",ro
¿Quién es el anfitrión de los especiales de la BBC Wildlife?,"anfitrión, BBC Wildlife",es
Wie is de presentator van de BBC Wildlife Specials?,"presentator, BBC Wildlife Specials",nl
"Was ist die Gesamteinwohnerzahl von Melbourne, Florida?","Gesamteinwohnerzahl, Melbourne Florida",de
"Какие является  Всего Население из Мельбурн, Флорида? ","Всего Население ,  Мельбурн Флорида ",ru
"o que é a total população do Melbourne, Flórida? ","total população ,  Melbourne Flórida ",pt
"What is the total population of Melbourne, Florida?","total population, Melbourne Florida",en
"मेलबोर्न, फ्लोरिडा की कुल आबादी क्या है?","मेलबोर्न, फ्लोरिडा, कुल आबादी",hi_IN
  فلوریدا؟  ملبورن  از  جمعیت  جمع  این  است  چی,"  جمعیت  جمع,    فلوریدا  ملبورن",fa
"Qual è la popolazione totale di Melbourne, Florida?","popolazione totale, Melbourne, Florida",it
"Quelle est la population totale de Melbourne, Floride?","population totale, Melbourne, Floride",fr
"Care este populația totală a Melbourne, Florida?","populația totală, Melbourne Florida",ro
"¿Cuál es la población total de Melbourne, Florida?","población total, Melbourne Florida",es
"Wat is de bevolking van Melbourne, Florida?","bevolking, Melbourne Florida",nl
In welchem Land ist der Mount Everest?,"Land, Mount Everest",de
Какие страна является гора Эверест в? ,"страна ,  гора Эверест ",ru
o que país é Monte Everest dentro? ,"país ,  Monte Everest ",pt
What country is Mount Everest in?,"country, Mount Everest",en
कोनसे देश में माउंट एवरेस्ट है?,"देश, माउंट एवरेस्ट",hi_IN
  که در؟  اورست  کوه  است  کشور  چی,"  کشور,    اورست  کوه",fa
In quale stato si trova il Monte Everest?,"stato, Monte Everest",it
Dans quel pays se trouve le mont Everest?,"pays, Everest",fr
În ce țară se află muntele Everest?,"țară, muntele Everest",ro
¿En que país esta el monte Everest?,"país, monte Everest",es
In welke land is de Mount Everest?,"land, Mount Everest",nl
Welcher Stilrichtung gehörte der Maler der Drei Tänzer an?,"Drei Tänzer, Maler, Stilrichtung",de
к который художественный движение сделал  художник из  Три Танцоры принадлежат? ,"художественный движение ,  художник ,   Три Танцоры ",ru
Para qual artístico movimento fez a pintor do o Três Dançarinos pertence? ,"artístico movimento ,  pintor ,  o Três Dançarinos ",pt
To which artistic movement did the painter of The Three Dancers belong?,"artistic movement, painter, The Three Dancers",en
द थ्री डांसर्स के चित्रकार किस कलात्मक आंदोलन से हैं?,"द थ्री डांसर्स, चित्रकार, कलात्मक आंदोलन",hi_IN
نقاش سه رقصنده به چه جنبش هنری تعلق دارد؟,نقاش، سه رقصنده، جنبش هنری,fa
A quale movimento artistico apparteneva il pittore de I tre ballerini?,"movimento artistico, pittore, I tre ballerini",it
A quel mouvement artistisque appartient le peintre de Les Trois Danceurs?,"mouvement artistique, peintre, les trois danceurs",fr
Cărui curent artistic îi aparține pictorul lucrării Trei dansatoare?,"curent artistic, pictor, Trei dansatoare",ro
¿A qué estilo artístico pertenece el pinto de Los Tres Bailarines?,"estilo artístico, pintor, Los Tres Bailarines",es
Tot welke artistieke stijl behoort de schilder van de Drie Dansers?,"Drie Dansers, schilder, stijl",nl
Wann wurde die Operation Overlord durchgeführt?,"Operation Overlord, Datum",de
когда сделал операция Повелитель начать? ,"когда ,  операция Повелитель ,  начинать ",ru
Quando fez Operação Overlord começar? ,"quando ,  Operação Overlord ,  começar ",pt
When did Operation Overlord commence?,"when, Operation Overlord, commence",en
ऑपरेशन ओवेरलोर्ड कब शुरू हुआ था?,ऑपरेशन ओवेरलोर्ड,hi_IN
نبرد خان بزرگ کی شروع شد؟,نبرد خان بزرگ، شروع,fa
Quando è iniziata l'operatione Overlord?,"data di inizio, operatione Overlord",it
Quand a commencé l'opération Overlord?,"date de commencement, opération Overlord",fr
Când a început operațiunea Overlord?,"când, început, operațiunea Overlord",ro
¿Cuándo comenzó la operación Overlord?,"comienzo, operación Overlord ",es
Wanneer vond Operatie Overlord plaats?,"Operatie Overlord, datum",nl
Welche Brücke hat die längste Spannweite?,"Brücke, längste Spannweite",de
Какие является  мост с  самый длинный пролет? ,"мост ,  самый длинный пролет ",ru
o que é a ponte com a mais longo período? ,"ponte ,  mais longo período ",pt
What is the bridge with the longest span?,"bridge, longest span",en
सबसे लंबा पुल कौन सा है?,"सबसे लंबा, पुल",hi_IN
  طول؟  طولانی ترین  این  با  پل  این  است  چی,"  پل,    طول  طولانی ترین",fa
Qual è il ponte con la campata più lunga?,"ponte, campata più lunga",it
Quel est le pont le plus large?,"pont, le plus large",fr
Care este podul cu cea mai mare deschidere?,"pod, cea mai mare deschidere",ro
¿Qué puente tiene el mayor largo del vano?,"puente, mayor largo del vano",es
Wat is de brug met de grootste spanwijdte?,"brug, langste spanwijdte",nl
"Gibt es ein Videospiel, das Battle Chess heißt?","Videospiel, Battle Chess",de
Является там  видео игра называется Боевой Шахматы? ,"видео игра ,  Боевой шахматы ",ru
É há uma vídeo jogos chamado Batalha Xadrez? ,"vídeo jogos ,  Batalha Xadrez ",pt
Is there a video game called Battle Chess?,"video game, Battle Chess",en
क्या बैटल चैस नामक वीडियो गेम है?,"बैटल चैस, वीडियो गेम",hi_IN
  شطرنج؟  نبرد  به نام  بازی  ویدئو  a  آنجا  است,"  بازی  ویدئو,    شطرنج  نبرد",fa
Esiste un videogioco che si chiama Battle Chess?,"videogioco, Battle Chess",it
Existe-t-il un jeu vidéo appelé Battle Chess?,"jeu vidéo, Battle Chess",fr
Este Acolo A video joc denumit Luptă Şah? ,"video joc ,  Luptă Şah ",ro
¿Hay algún videojuego que se llame Battle Chess?,"videojuego, Battle Chess",es
Bestaat er een videospel met de naam Battle Chess?,"videospel, Battle Chess",nl
Wer wurde in der Cheops-Pyramide begraben?,"Cheops-Pyramide, begraben",de
Кто был похороненный в  большой пирамида из Гиз? ,"похороненный ,  большой пирамида из Гиза ",ru
Quem estava enterrado dentro a Ótimo Pirâmide do Gizé? ,"enterrado ,  Ótimo Pirâmide do Gizé ",pt
Who was buried in the Great Pyramid of Giza?,"buried, Great Pyramid of Giza",en
कौन था दफन में  महान पिरामिड का गीज़ा? ,"दफन ,  महान पिरामिड का गीज़ा ",hi_IN
Chi fu sepolto nella Grande Piramide di Giza?,"sepolto, Grande Piramide di Giza",it
Qui est enterré dans la grande pyramide de Gizeh?,"enterré, grande pyramide de Gizeh",fr
Hat Ford eine Frabik in Malaysia?,"Ford, Fabrik, Malaysia",de
Есть ли  брод двигатель Компания иметь  производство растение в Малайзия? ,"брод двигатель Компания ,  производство растение ,  Малайзия ",ru
Faz a Ford Motor Empresa ter uma manufatura plantar dentro Malásia? ,"Ford Motor Empresa ,  manufatura plantar ,  Malásia ",pt
Does the Ford Motor Company have a manufacturing plant in Malaysia?,"Ford Motor Company, manufacturing plant, Malaysia",en
कर देता है  पायाब मोटर कंपनी है ए विनिर्माण पौधा में मलेशिया? ,"पायाब मोटर कंपनी ,  विनिर्माण पौधा ,  मलेशिया ",hi_IN
La Ford ha una fabbrica in Malesia?,"Ford, fabbrica, Malesia",it
Est-ce que Ford possède une usine en Malaisie?,"Ford, usine, Malaisie",fr
Hat Sokrates Aristoteles beeinflusst?,"Sokrates, beeinflusste, Aristoteles",de
Сделал Сократ влияние Аристотель? ,"Сократ ,  влияние ,  Аристотель ",ru
fez Sócrates influência Aristóteles? ,"Sócrates ,  influência ,  Aristóteles ",pt
Did Socrates influence Aristotle?,"Socrates, influence, Aristotle",en
क्या एरिस्टोटल सोक्रेटस से प्रभावित थे?,"एरिस्टोटल, सोक्रेटस, प्रभावित",hi_IN
  ارسطو؟  نفوذ  سقراط  آیا,"  سقراط,    نفوذ,    ارسطو",fa
Socrate ha influenzato Aristotele?,"Socrate, influenzare, Aristotele",it
Socrate a-t-il influencé Aristote?,"Socrate, influencer, Aristote",fr
Făcut Socrate influență Aristotel? ,"Socrate ,  influență ,  Aristotel ",ro
¿Tuvo Sócrates influencia sobre Aristóteles?,"Sócrates, influencia, Aristóteles",es
Beïnvloedde Socrates Aristoteles?,"beïnvloeden, Socrates, Aristoteles",nl
Wieviele Kinder hatte Benjamin Franklin?,"Benjamin Franklin, Kinder",de
Как многие дети сделал Вениамин Франклин иметь? ,"Вениамин Франклин ,  ребенок ",ru
Como muitos crianças fez Benjamin Franklin ter? ,"Benjamin Franklin ,  criança ",pt
How many children did Benjamin Franklin have?,"Benjamin Franklin, child",en
बेंजामिन फ्रैंकलिन के कितने बच्चे हैं?,"बेंजामिन फ्रैंकलिन, बच्चे",hi_IN
بنجامین فرانکلین چند فرزند دارد؟,بنجامین فرانکلین، فرزند,fa
Quanti figli ebbe Benjamin Franklin?,"Benjamin Franklin, figlio",it
Combien d'enfants Benjamin Franklin avait-il?,"nombre d'enfants, Benjamin Franklin",fr
Câți copii a avut Benjamin Franklin?,"Benjamin Franklin, copil",ro
¿Cuántos hijos tuvo Benjamin Franklin?,"Benjamin Franklin, hijos",es
Hoeveel kinderen had Benjamin Franklin?,"Benjamin Franklin, kinderen, hoeveel",nl
Wie groß ist Michael Jordan?,"Größe, Michael Jordan",de
Как высокий является Майкл Иордания? ,"высокий ,  Майкл Иордания ",ru
Como alta é Michael Jordânia? ,"alta ,  Michael Jordânia ",pt
How tall is Michael Jordan?,"tall, Michael Jordan",en
माइकल जॉर्डन कितना लंबा है?,"माइकल जॉर्डन, लंबा",hi_IN
  اردن؟  مایکل  است  بلند قد  چطور,"  بلند قد,    اردن  مایکل",fa
Quanto è alto Michael Jordan?,"altezza, Michael Jordan",it
Quelle est la taille de Michael Jordan?,"taille, Michael Jordan",fr
Cum înalt este Michael Iordania? ,"înalt ,  Michael Iordania ",ro
¿Qué altura tiene Michael Jordan?,"altura, Michael Jordan",es
Hoe lang is Michael Jordan?,"lang, Michael Jordan",nl
In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?,"MI6, Hauptquartier, Stadt, Vereinigtes Königreich",de
В который Великобритания город находятся  главное управление из  МИ-6 ,"MISH ,  главное управление ,  город ,  Великобритания ",ru
Dentro qual Reino Unido cidade estamos a quartel general do a MI6 ,"MIS ,  quartel general ,  cidade ,  Reino Unido ",pt
In which UK city are the headquarters of the MI6?,"MI6, headquarters, city, UK",en
किस यूके शहर में एमआई-6 का मुख्यालय है?,"यूके, शहर, एमआई-6, मुख्यालय",hi_IN
  MI6  این  از  مرکز فرماندهی  این  هستند  شهر  انگلستان  که  که در,"  MIS,    مرکز فرماندهی,    شهر,    انگلستان",fa
In quale città del Regno Unito si trova il quartier generale del MI6?,"MI6, quartier generale, città, Regno Unito",it
Dans quelle ville anglaise se trouvent les quartiers genéraux du MI6?,"ville anglaise, quartiers genéraux, MI6",fr
În care oraș din Regatul Unit se află cartierul general al MI6?,"MI6, cartier general, oraș, Regatul Unit",ro
¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,"MI6, cuartel general, ciudad, reino unido",es
In welke Britse stad is het hoofdkwartier van MI6 gevestigd?,"MI6, hoofdkwartier, Britse stad",nl
Wer hat sich Family Guy ausgedacht?,"Family Guy, Erfinder",de
Кто созданный семья Гай? ,"Создайте ,  семья парень ",ru
Quem criada Família Cara? ,"crio ,  Família Cara ",pt
Who created Family Guy?,"create, Family Guy",en
फॅमिली गाए कौन ने बनाया है?,"फॅमिली गाए, बनाया",hi_IN
چه کسی مرد خانواده را ساخته است؟,مرد خانواده، ساخته,fa
Chi ha creato I Griffin?,"creare, I Griffin",it
Qui est le créateur de Family Guy?,"créateur, Family Guy?",fr
Cine a creat Family Guy?,"creat, Family Guy",ro
¿Quién creó Family Guy?,"creador, Family Guy",es
Wie heeft Family Guy bedacht?,"Family Guy, schepper",nl
In welcher Stadt hört die Ruta 68 auf?,"Stadt, aufhören, Route 68",de
В который город делает  Чили маршрут 68 конец? ,"город ,  Чили маршрут 68 ,  концы ",ru
Dentro qual cidade faz a Chile Rota 68 fim? ,"cidade ,  Chile Rota 68 ,  termina ",pt
In which city does the Chile Route 68 end?,"city, Chile Route 68, ends",en
चिली रूट 68 का अंत कौनसे शहर में होता है?,"चिली रूट 68, शहर",hi_IN
در کدام شهر مسیر 68 شیلی پایان می یابد؟,شهر، مسیر 68 شیلی، پایان,fa
In quale città termina la Route 68 in Cile?,"città, termina, Route 68, Cile",it
Dans quelle ville se termine la route 68 chilienne?,"route 68, chili, ville, terminaison",fr
În ce oraș se termină Route 68 din Chile?,"oraș, termină, Route 68, Chile",ro
¿En que ciudad termina la ruta Chilena 68?,"ciudad, termina, ruta Chilena 68",es
In welke stad eindigt de Route 68 in Chili?,"stad, eindigt, Route 68, Chili",nl
Gib mir die Enkel von Elvis Presley.,"Elvis Presley, Enkel",de
Дайте меня  внучата из Элвис Presley. ,"Элвис Presley ,  внучата ",ru
Dar mim a netos do Elvis Presley ,"Elvis Presley ,  netos ",pt
Give me the grandchildren of Elvis Presley.,"Elvis Presley, grandchildren",en
मुझे एल्विस प्रेस्ली के पोतों के नाम दे। ,"एल्विस प्रेस्ली, पोतो के नाम",hi_IN
نوه های الویس پرسلی را لیست کن.,نوه های، الویس پرسلی,fa
Dammi i nipoti di Elvis Presley.,"Elvis Presley, nipoti",it
Donne-moi tous les petit-enfants de Elvis Presley.,"petit-enfants, Elvis Presley",fr
Dă-mi nepoții lui Elvis Presley.,"Elvis Presley, nepoți",ro
Dame todos los nietos de Elvis Presley.,"Elvis Presley, nietos",es
Toon alle kleinkinderen van Elvis Presley.,"Elvis Presley, kleinkinderen",nl
Wann endete die Ming-Dynastie?,"Ende, Ming-Dynastie",de
когда сделал  Ming династия распустить? ,"растворяться ,  Ming династия ",ru
Quando fez a Ming dinastia dissolver? ,"dissolver ,  Ming dinastia ",pt
When did the Ming dynasty dissolve?,"dissolve, Ming dynasty",en
मिंग राजवंश को कब भंग किया?,"मिंग राजवंश, भंग",hi_IN
  حل کن  سلسله  مینگ  این  انجام داد  چه زمانی,"  انحلال,    سلسله  مینگ",fa
Quando è scomparsa la dinastia Ming?,"anno scomparsa, dinastia Ming",it
Quand la dynastie Ming s'est-elle dissoute?,"dissoudre, dynastie Ming",fr
Când a dispărut dinastia Ming?,"dispărut, dinastia Ming",ro
¿Cuándo se disolvió la dinastía de Ming?,"disolvió, dinastía de Ming",es
Wanneer werd de Ming-dynastie beëindigd?,"Ming-dynastie, beëindigd",nl
An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,"Lawrence von Arabien, militärische Auseinandersetzung",de
В который военные конфликты сделал Лоренс из Аравия принимать участие? ,"Лоренс из Аравия ,  военные конфликт ",ru
Dentro qual militares conflitos fez Lawrence do Arabia participar? ,"Lawrence do Arabia ,  militares conflito ",pt
In which military conflicts did Lawrence of Arabia participate?,"Lawrence of Arabia, military conflict",en
अरब के लॉरेंस ने किस सैन्य युद्ध में भाग लिया?,"अरब के लॉरेंस, सैन्य युद्ध, भाग लिया",hi_IN
  شرکت کردن؟  عربستان  از  لارنس  انجام داد  درگیری ها  نظامی  که  که در,"  عربستان  از  لارنس,    درگیری  نظامی",fa
A quali conflitti militari ha partecipato Lawrence d'Arabia?,"Lawrence d'Arabia, conflitto militare",it
Dans quels conflits militaires a participé Lawrence d'Arabie?,"Lawrence d'Arabie, conflits militaires",fr
În care conflicte militare a participat Lawrence al Arabiei?,"Lawrence al Arabiei, conflict militar",ro
¿En qué conflictos militares participó Lawrence de Arabia?,"Lawrence de Arabia, conflicto militar",es
Bij welke militaire conflicten was Lawrence of Arabia betrokken?,"militair conflict, Lawrence of Arabia",nl
In welcher Zeitzone liegt San Pedro de Atacama?,"Zeitzone, San Pedro de Atacama",de
Какие является  часовой пояс в Сан - Pedro из Atacama? ,"часовой пояс ,  Сан - Pedro из Atacama ",ru
o que é a fuso horário dentro San Pedro de Atacama ,"fuso horário ,  San Pedro de Atacama ",pt
What is the timezone in San Pedro de Atacama?,"timezone, San Pedro de Atacama",en
सैन पेड्रो डे अटाकामा में समय क्षेत्र क्या है?,"सैन पेड्रो डे अटाकामा, समय क्षेत्र",hi_IN
منطقه زمانی در San Pedro de Atacama چیست؟,منطقه زمانی، San Pedro de Atacama,fa
Qual è il fuso orario di San Pedro de Atacama?,"fuso orario, San Pedro de Atacama",it
Quel est le fuseau horaire de San Pedro de Atacama?,"fuseau horaire, San Pedro de Atacama",fr
Care este fusul orar din San Pedro de Atacama?,"fus orar, San Pedro de Atacama",ro
¿Cuál es la zona horaria en San Pedro de Atacama?,"zona horaria, San Pedro de Atacama",es
Wat is de tijdzone in San Pedro de Atacama?,"tijdzone, San Pedro de Atacama",nl
Gib mir alle Bücher von William Goldman mit mehr als 300 Seiten.,"Buch, William Goldman, Seiten, mehr als 300",de
Дайте меня все книги от Уильям Goldman с Больше чем 300 страницы. ,"книга ,  Уильям Goldman ,  страницы ,  Больше чем 300 ",ru
Dar mim todos livros de William Goldman com Mais do que 300 Páginas. ,"livro ,  William Goldman ,  Páginas ,  Mais do que 300 ",pt
Give me all books by William Goldman with more than 300 pages.,"book, William Goldman, pages, more than 300",en
मुझे ३०० से अधिक पृष्ठों के साथ विलियम गोल्डमैन की किताबें की सूचि बतायें।,"३०० से अधिक पृष्ठों, विलियम गोल्डमैन, किताबें",hi_IN
  صفحات  300  از  بیشتر  با  گلدمن  ویلیام  توسط  کتاب ها  همه  من  دادن,"  کتاب,    گلدمن  ویلیام,    صفحات,    300  از  بیشتر",fa
Dammi tutti i libri di Wiliam Goldman con più di 300 pagine.,"libro, Wiliam Goldman, pagine, più di 300",it
Donnes-moi tous les livres de William Goldman avec plus de 300 pages.,"livres, William Goldman, plus de 300 pages",fr
Dă-mi toate carțile de William Glodman cu mai mult de 300 de pagini.,"carte, William Goldman, pagini, mai mult de 300",ro
Dame todos los libros de Wiliam Goldman con más de 300 páginas.,"libro, William Goldman, más de 300 páginas",es
Geef alle boeken van William Goldman met meer dan 300 pagina's.,"boeken, William Goldman, meer dan 300 pagina's",nl
Woran ist Bruce Carver gestorben?,"Bruce Carver, Todesursache",de
Какие сделал Брюс резчик  из? ,"Брюс резчик ,   ",ru
o que fez Bruce Escultor o a partir de? ,"Bruce Escultor ,  o ",pt
What did Bruce Carver die from?,"Bruce Carver, die",en
ब्रूस कार्वर कि मृत्यु किस से हुई?,"ब्रूस कार्वर, मृत्यु",hi_IN
  از جانب؟    کارور  بروس  انجام داد  چی,"  کارور  بروس,    ",fa
Di cosa è morto Bruce Carver?,"Bruce Caver, morire",it
Quel est la cause de décès de Bruce Carver?,"cause de décès, Bruce Carver",fr
Ce făcut Bruce Sculptor  din? ,"Bruce Sculptor ,   ",ro
¿De qué murió Bruce Carver?,"Bruce Caver, muerte",es
Waaraan overleed Bruce Carver?,"Bruce Carver, gestorven aan",nl
Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?,"Tochtergesellschaft, Lufthansa, anfliegen, Dortmund, Berlin Tegel",de
Который дочернее предприятие из Lufthansa служит и то и другое Дортмунд а также Берлин Тегель? ,"дочернее предприятие ,  Lufthansa ,  обслуживать ,  Дортмунд ,  Берлин Тегель ",ru
Qual subsidiária do Lufthansa serve ambos Dortmund e Berlim Tegel? ,"subsidiária ,  Lufthansa ,  servir ,  Dortmund ,  Berlim Tegel ",pt
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,"subsidiary, Lufthansa, serve, Dortmund, Berlin Tegel",en
लुफ्तहांसा की कौन सी सहायक कंपनी डॉर्टमुंड और बर्लिन टेगल दोनों की सेवा करती है?,"लुफ्तहांसा, सहायक कंपनी, डॉर्टमुंड, बर्लिन टेगल, सेवा",hi_IN
  تگل؟  برلین  و  دورتموند  هر دو  خدمت  لوفت هانزا  از  شرکت تابعه  کدام,"  شرکت تابعه,    لوفت هانزا,    خدمت,    دورتموند,    تگل  برلین",fa
Quale società sussidiaria di Lufthansa serve sia Dortmund che Berlin Tegel?,"società sussidiaria di Lufthansa, servire, Dortmund, Berlin Tegel",it
Quelle subsidiaire de Lufhansa vole sur Dortmund et Berlin Tegel?,"subsidiaire, Lufhansa, vole sur, Dortmund, Berlin Tegel",fr
Care filială a Lufthansa deservește atât Dortmund cât și Berlin Tegel?,"filială, Lufthansa, deservește, Dortmund, Berlin Tegel",ro
¿Qué subsidiario de Lufthansa vuela en Dortmund y en Berlin?,"subsidiario, Lufthansa, vuela, Dortmund y Berlin",es
Welke dochteronderneming van Lufthansa bedient zowel Dortmund en Berlin Tegel?,"dochteronderneming, Lufthansa, bedient, Dortmund, Berlin Tegel",nl
Hat Abraham Lincolns Sterbeort eine Webseite?,"Abraham Lincoln, Sterbeort, Webseite",de
Есть ли Авраам Линкольн смерть место иметь  Веб-сайт? ,"Авраам Линкольн ,  смерть место ,  Веб-сайт ",ru
"Faz Abraão Lincoln's morte Lugar, colocar ter uma local na rede Internet? ","Abraão Lincoln ,  morte Lugar,  colocar ,  local na rede Internet ",pt
Does Abraham Lincoln's death place have a website?,"Abraham Lincoln, death place, website",en
अब्राहम लिंकन की मौत की जगह की बसाइट है?,"अब्राहम लिंकन, मौत, जगह, बसाइट",hi_IN
  سایت اینترنتی؟  a  دارند  محل  مرگ  لینکلن  ابراهیم  میکند,"  لینکلن  ابراهیم,    محل  مرگ,    سایت اینترنتی",fa
Il luogo di morte di Abraham Lincoln ha un sito web?,"Abraham Lincoln, luogo di morte, website",it
A le lieu de décès d'Abraham Lincoln une page Web?,"Abraham Lincoln, lieu de décès, page Web",fr
Locul morții lui Abraham Lincoln are un website?,"locul morții, Abraham Lincoln, website",ro
¿Tiene el lugar de nacimiento de Abraham Lincol una página web?,"Abraham Lincoln, lugar de nacimiento, página web",es
Heeft de stad waarin Abraham Lincoln is overleden een website?,"Abraham Lincoln, stad, gestorven, website",nl
Hatte Elvis Presley Kinder?,"Elvis Presley, Kinder",de
Сделал Элвис Presley иметь дети? ,"Элвис Presley ,  дети ",ru
fez Elvis Presley ter crianças? ,"Elvis Presley ,  crianças ",pt
Did Elvis Presley have children?,"Elvis Presley, children",en
क्या एल्विस प्रेस्ली के बच्चे थे ?,"एल्विस प्रेस्ली, बच्चे",hi_IN
آیا الویس پرسلی فرزند دارد؟,الویس پرسلی، فرزند,fa
Elvis Presley ha avuto dei figli?,"Elvis Presley, figli",it
Elvis Presley a-t-il eu des enfants?,"enfants, Elvis Presley",fr
A avut Elvis Presley copii?,"Elvis Presly, copii",ro
Tuvo hijos Elvis Presley?,"hijos, Elvis Presley",es
Had Elvis Presley kinderen?,"Elvis Presley, kinderen",nl
Ist Michelle Obama die Ehefrau von Barack Obama?,"Michelle Obama, Ehefrau, Barack Obama",de
Является Мишель Обама  жена из Барак Обама? ,"Мишель Обама ,  жена ,  Барак Обама ",ru
É Michelle Obama a esposa do Barack Obama? ,"Michelle Obama ,  esposa ,  Barack Obama ",pt
Is Michelle Obama the wife of Barack Obama?,"Michelle Obama, wife, Barack Obama",en
क्या बराक ओबामा की पत्नी मिशेल ओबामा हैं?,"बराक ओबामा, पत्नी, मिशेल ओबामा",hi_IN
  اوباما؟  باراک  از  همسر  این  اوباما  میشل  است,"  اوباما  میشل,    همسر,    اوباما  باراک",fa
Michelle Obama è la moglie di Barack Obama?,"Michelle Obama, moglie, Barack Obama",it
Michelle Obama est-elle l'épouse de Barack Obama?,"Michelle Obama, épouse, Barack Obama",fr
Este Michelle Obama  soție de Barack Obama? ,"Michelle Obama ,  soție ,  Barack Obama ",ro
¿Es Michele Obama la esposa de Barack Obama?,"Michelle Obama, esposa, Barack Obama",es
Is Michelle Obama de vrouw van Barack Obama?,"Michelle Obama, vrouw van, Barack Obama",nl
In welcher Stadt wohnt Sylvester Stallone?,"Sylvester Stallone, wohnen, Stadt",de
В который город делает Сильвестр Сталлоне жить? ,"город ,  жить ,  Сильвестр Сталлоне ",ru
Dentro qual cidade faz Sylvester Stallone viver? ,"cidade ,  viver ,  Sylvester Stallone ",pt
In which city does Sylvester Stallone live?,"city, live, Sylvester Stallone",en
सिल्वेस्टर स्टेलोन किस शहर में रहते हैं?,"सिल्वेस्टर स्टेलोन, शहर, रहते",hi_IN
سیلوستر استالونه در کدام شهر زندگی می کند؟,سیلوستر استالونه، شهر، زندگی,fa
In quale città vive Sylvester Stallone?,"città, vive, Sylvester Stallone",it
Dans quelle ville vit Sylvester Stallone?,"ville, Sylvester Stallone",fr
În ce oraș trăiește Sylvester Stallone?,"oraș, trăiește, Sylvester Stallone",ro
¿En qué ciudad vive Sylvester Stallone?,"ciudad, vive, Sylvester Stallone",es
In welke stad woont Sylvester Stallone?,"stad, wonen, Sylvester Stallone",nl
Welche Bücher von Kerouac wurden von Viking Press verlegt?,"Buch, Kerouac, verlegen, Viking Press",de
Который книги от Керуак мы опубликованный от викинг Нажмите? ,"книга ,  Керуак ,  публиковать ,  викинг Нажмите ",ru
Qual livros de Kerouac estavam Publicados de Viking Pressione? ,"livro ,  Kerouac ,  publicar ,  Viking pressione ",pt
Which books by Kerouac were published by Viking Press?,"book, Kerouac, publish, Viking Press",en
वाइकिंग प्रेस द्वारा कैरौक की कौन सी किताबें प्रकाशित की गई थीं?,"वाइकिंग प्रेस, कैरौक, प्रकाशित",hi_IN
چه کتاب هایی اثر کرواک توسط انتشارات وایکینگ منتشر شدند؟,کتاب هایی، کرواک، انتشارات وایکینگ، منتشر,fa
Quali libri di Kerouac furono pubblicati da Viking Press?,"libro, Kerouac, pubblicare, Viking Press",it
Quels lives de Kerouac ont été publiés par Viking Press?,"lives de Kerouac, publiés, Viking Press",fr
Ce cărți de Kerouac a fost publicate de Viking Press?,"carte, Kerouac, publica, Viking Press",ro
¿Qué libros de Kerouac han sido publicados por Viking Press?,"libro, Kerouac, publicado, Viking Press",es
Welke boeken van Jack Kerouac werden uitgegeven door Viking Press?,"boek, Jack Kerouac, uitgever, Viking Press",nl
Wer hat das Lied Hotel California geschrieben?,"Lied, Hotel California, geschrieben",de
Кто писал  песня Гостиница California? ,"записывать ,  песня ,  Гостиница Калифорния ",ru
Quem escrevi a canção Hotel Califórnia? ,"Escreva ,  canção ,  Hotel Califórnia ",pt
Who wrote the song Hotel California?,"write, song, Hotel California",en
